"N_per_arm","frailty_variance","power_adjusted","power_treatment_only","n_unique_ids","nrow_dat","nrow_pseudo","n_unique_pseudo_ids"
100,0,0.23,0.225,200,593,200,200
129,0,0.335,0.315,258,736,258,258
167,0,0.33,0.315,334,956,334,334
215,0,0.445,0.445,430,1357,430,430
278,0,0.565,0.54,556,1683,556,556
359,0,0.65,0.6,718,2156,718,718
464,0,0.73,0.705,928,2687,928,928
599,0,0.86,0.86,1198,3614,1198,1198
774,0,0.94,0.945,1548,4558,1548,1548
1000,0,0.95,0.945,2000,5834,2000,2000
100,1,0.155,0.155,200,503,200,200
129,1,0.18,0.155,258,684,258,258
167,1,0.225,0.235,334,830,334,334
215,1,0.245,0.22,430,1089,430,430
278,1,0.315,0.295,556,1409,556,556
359,1,0.38,0.355,718,1794,718,718
464,1,0.48,0.455,928,2209,928,928
599,1,0.61,0.62,1198,2970,1198,1198
774,1,0.71,0.7,1548,3976,1548,1548
1000,1,0.785,0.79,2000,5340,2000,2000
