"scenario","tau","lambda_c","lambda_d","type1_error","type1_lower","type1_upper","power","power_lower","power_upper"
"baseline",2,0.25,0.25,0.054,0.0399912779169547,0.0680087220830453,0.394,0.363714099280358,0.424285900719642
"baseline",3,0.25,0.25,0.045,0.0321511572505536,0.0578488427494463,0.487,0.456020155429699,0.517979844570301
"baseline",4,0.25,0.25,0.057,0.0426302455970883,0.0713697544029117,0.59,0.55951585592476,0.62048414407524
"high_both",2,0.4,0.4,0.055,0.0408696369473392,0.0691303630526608,0.357,0.327304156492869,0.386695843507131
"high_both",3,0.4,0.4,0.06,0.0452804130492734,0.0747195869507266,0.506,0.4750119103138,0.5369880896862
"high_both",4,0.4,0.4,0.053,0.0391142610711565,0.0668857389288435,0.575,0.544360303526307,0.605639696473692
"high_censor",2,0.4,0.25,0.063,0.0479409997144565,0.0780590002855435,0.371,0.341058858832703,0.400941141167297
"high_censor",3,0.4,0.25,0.057,0.0426302455970883,0.0713697544029117,0.508,0.477013645945352,0.538986354054648
"high_censor",4,0.4,0.25,0.047,0.0338824885896753,0.0601175114103247,0.58,0.549408926792281,0.610591073207719
"high_death",2,0.25,0.4,0.048,0.0347506319546931,0.0612493680453069,0.346,0.316516231339939,0.375483768660061
"high_death",3,0.25,0.4,0.039,0.0270008614309193,0.0509991385690807,0.48,0.44903448111205,0.51096551888795
"high_death",4,0.25,0.4,0.048,0.0347506319546931,0.0612493680453069,0.579,0.548398944880936,0.609601055119064
