"t_eval","lambda_c","lambda_d","reject_rate","mean_beta","se_reject","lower","upper"
2,0.1,0.25,0.04,0.00162734603550359,0.027712812921102,0,0.09431711332536
3,0.1,0.25,0.08,-0.0030542447260907,0.0383666521865018,0.00480136171445655,0.155198638285543
4,0.1,0.25,0.02,0.0157277435325064,0.0197989898732233,0,0.0588060201515177
2,0.2,0.25,0.04,-0.00824785630651999,0.027712812921102,0,0.09431711332536
3,0.2,0.25,0.02,0.0101925638213668,0.0197989898732233,0,0.0588060201515177
4,0.2,0.25,0.06,0.0163115027716745,0.0335857112474933,0,0.125827994045087
2,0.3,0.25,0.02,0.0125311835218927,0.0197989898732233,0,0.0588060201515177
3,0.3,0.25,0.06,0.0284632561976419,0.0335857112474933,0,0.125827994045087
4,0.3,0.25,0.06,0.0033134620032264,0.0335857112474933,0,0.125827994045087
2,0.4,0.25,0.04,0.00474548476188587,0.027712812921102,0,0.09431711332536
3,0.4,0.25,0.04,-0.0113317916698484,0.027712812921102,0,0.09431711332536
4,0.4,0.25,0.08,0.0261830233280897,0.0383666521865018,0.00480136171445655,0.155198638285543
